2026-03-21 21:08:34 | INFO | src.logging | Logging configured. Writing logs to logs/pipeline.log
2026-03-21 21:08:34 | INFO | src.main | Starting end-to-end pipeline.
2026-03-21 21:08:34 | INFO | src.main | Started pipeline W&B run.
2026-03-21 21:08:34 | INFO | src.load_data | Loading raw data from data/raw/f1_all.parquet
2026-03-21 21:08:34 | INFO | src.load_data | Loaded raw dataframe with shape=(69230, 29)
2026-03-21 21:08:34 | INFO | src.clean_data | Starting dataframe cleaning. Input shape=(69230, 29)
2026-03-21 21:08:34 | INFO | src.clean_data | Target column 'milliseconds' converted to numeric with coercion.
2026-03-21 21:08:34 | INFO | src.clean_data | Dropped 553 rows due to missing required values in columns=['TyreLife', 'milliseconds']
2026-03-21 21:08:34 | INFO | src.clean_data | Dropped configured columns: ['Driver', 'LapNumber', 'time', 'circuitId', 'driverId', 'statusId', 'raceId', 'position_x', 'position_y', 'status', 'AirTemp']
2026-03-21 21:08:34 | INFO | src.clean_data | Filled missing values in object/string columns with 'UNKNOWN'.
2026-03-21 21:08:34 | INFO | src.clean_data | Applied IQR outlier trimming on target 'milliseconds'. Removed 2894 rows.
2026-03-21 21:08:34 | INFO | src.clean_data | Finished cleaning dataframe. Output shape=(65783, 18)
2026-03-21 21:08:34 | INFO | src.utils | Saving DataFrame to data/processed/clean.csv
2026-03-21 21:08:35 | INFO | src.validate | Validating dataframe with shape=(65783, 18)
2026-03-21 21:08:35 | INFO | src.validate | Validation passed for required columns=['milliseconds', 'lap', 'grid', 'Stint', 'TyreLife', 'TrackTemp', 'Humidity', 'Pressure', 'Rainfall', 'WindSpeed', 'WindDirection', 'round', 'name', 'constructorId', 'code', 'Compound', 'FreshTyre']
2026-03-21 21:08:35 | INFO | src.main | Using year split: train < 2023, test == 2023
2026-03-21 21:08:35 | INFO | src.features | Building feature preprocessor.
2026-03-21 21:08:35 | INFO | src.features | Preprocessor ready. Numeric columns=['lap', 'grid', 'Stint', 'TyreLife', 'TrackTemp', 'Humidity', 'Pressure', 'Rainfall', 'WindSpeed', 'WindDirection'] | Categorical columns=['round', 'name', 'constructorId', 'code', 'Compound', 'FreshTyre'] | n_bins placeholder=3
2026-03-21 21:08:35 | INFO | src.train | Training model pipeline for problem_type=regression
2026-03-21 21:08:35 | INFO | src.train | Initialized W&B run | project=mlops-kickoff | entity=Navenkumar Balasubramaniam | job_type=train
2026-03-21 21:08:41 | INFO | src.train | Linear Regression CV RMSE=-5982.9521
2026-03-21 21:12:14 | INFO | src.logging | Logging configured. Writing logs to logs/pipeline.log
2026-03-21 21:12:14 | INFO | src.main | Starting end-to-end pipeline.
2026-03-21 21:12:14 | INFO | src.main | Started pipeline W&B run.
2026-03-21 21:12:14 | INFO | src.load_data | Loading raw data from data/raw/f1_all.parquet
2026-03-21 21:12:14 | INFO | src.load_data | Loaded raw dataframe with shape=(69230, 29)
2026-03-21 21:12:14 | INFO | src.clean_data | Starting dataframe cleaning. Input shape=(69230, 29)
2026-03-21 21:12:14 | INFO | src.clean_data | Target column 'milliseconds' converted to numeric with coercion.
2026-03-21 21:12:14 | INFO | src.clean_data | Dropped 553 rows due to missing required values in columns=['TyreLife', 'milliseconds']
2026-03-21 21:12:14 | INFO | src.clean_data | Dropped configured columns: ['Driver', 'LapNumber', 'time', 'circuitId', 'driverId', 'statusId', 'raceId', 'position_x', 'position_y', 'status', 'AirTemp']
2026-03-21 21:12:14 | INFO | src.clean_data | Filled missing values in object/string columns with 'UNKNOWN'.
2026-03-21 21:12:14 | INFO | src.clean_data | Applied IQR outlier trimming on target 'milliseconds'. Removed 2894 rows.
2026-03-21 21:12:14 | INFO | src.clean_data | Finished cleaning dataframe. Output shape=(65783, 18)
2026-03-21 21:12:14 | INFO | src.utils | Saving DataFrame to data/processed/clean.csv
2026-03-21 21:12:14 | INFO | src.validate | Validating dataframe with shape=(65783, 18)
2026-03-21 21:12:14 | INFO | src.validate | Validation passed for required columns=['milliseconds', 'lap', 'grid', 'Stint', 'TyreLife', 'TrackTemp', 'Humidity', 'Pressure', 'Rainfall', 'WindSpeed', 'WindDirection', 'round', 'name', 'constructorId', 'code', 'Compound', 'FreshTyre']
2026-03-21 21:12:14 | INFO | src.main | Using year split: train < 2023, test == 2023
2026-03-21 21:12:14 | INFO | src.features | Building feature preprocessor.
2026-03-21 21:12:14 | INFO | src.features | Preprocessor ready. Numeric columns=['lap', 'grid', 'Stint', 'TyreLife', 'TrackTemp', 'Humidity', 'Pressure', 'Rainfall', 'WindSpeed', 'WindDirection'] | Categorical columns=['round', 'name', 'constructorId', 'code', 'Compound', 'FreshTyre'] | n_bins placeholder=3
2026-03-21 21:12:14 | INFO | src.train | Training model pipeline for problem_type=regression
2026-03-21 21:12:14 | INFO | src.train | Initialized W&B run | project=mlops-kickoff | entity=Navenkumar Balasubramaniam | job_type=train
2026-03-21 21:12:22 | INFO | src.train | Linear Regression CV RMSE=-5982.9521
2026-03-21 21:21:58 | INFO | src.logging | Logging configured. Writing logs to logs/pipeline.log
2026-03-21 21:21:58 | INFO | src.main | Starting end-to-end pipeline.
2026-03-21 21:21:58 | INFO | src.main | Started pipeline W&B run.
2026-03-21 21:21:58 | INFO | src.load_data | Loading raw data from data/raw/f1_all.parquet
2026-03-21 21:21:58 | INFO | src.load_data | Loaded raw dataframe with shape=(69230, 29)
2026-03-21 21:21:58 | INFO | src.clean_data | Starting dataframe cleaning. Input shape=(69230, 29)
2026-03-21 21:21:58 | INFO | src.clean_data | Target column 'milliseconds' converted to numeric with coercion.
2026-03-21 21:21:58 | INFO | src.clean_data | Dropped 553 rows due to missing required values in columns=['TyreLife', 'milliseconds']
2026-03-21 21:21:58 | INFO | src.clean_data | Dropped configured columns: ['Driver', 'LapNumber', 'time', 'circuitId', 'driverId', 'statusId', 'raceId', 'position_x', 'position_y', 'status', 'AirTemp']
